url,image,name,price
https://www.naheed.pk/beurer-bathroom-scale-weight-machine-ps-160,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1140082-1.jpg,"Beurer Bathroom Scale, Weight Machine, PS-160","Rs. 5,500.00"
https://www.naheed.pk/astonish-bathroom-cleaner-trigger-fresh-breeze-750ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/0/1039469-1.jpg,"Astonish Bathroom Cleaner Trigger, Fresh Breeze, 750ml",Rs. 695.00
https://www.naheed.pk/beurer-mechanical-bathroom-scale-weight-machine-ms-01,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/0/1012727-1.jpg,"Beurer Mechanical Bathroom Scale, Weight Machine, MS-01","Rs. 4,000.00"
https://www.naheed.pk/beurer-bathroom-weight-machine-scale-ps-240,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1108965-1.jpg,"Beurer Bathroom Weight Machine Scale, PS-240","Rs. 6,700.00"
https://www.naheed.pk/harpic-disinfectant-bathroom-cleaner-lemon-1000ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1186875-1.jpg,"Harpic Disinfectant Bathroom Cleaner, Lemon, 1000ml",Rs. 645.00
https://www.naheed.pk/dr-beckmann-limescale-remover-for-kitchen-bathroom-trigger-500ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/2/1202293-1.jpg,"Dr. Beckmann Limescale Remover, For Kitchen & Bathroom, Trigger, 500ml",Rs. 765.00
https://www.naheed.pk/canped-adult-pants-extra-large-130-170-cm-8-pack,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1108984-1.jpg,"Canped Adult Pants, Extra Large, 130-170 cm, 8-Pack","Rs. 1,500.00"
https://www.naheed.pk/palmolive-naturals-aloe-vera-chamomile-hand-wash-225ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/p/a/palmolive_naturals_liquid_handwash_aloe___chamomile_225mljpg38.jpg,"Palmolive Naturals Aloe Vera & Chamomile Hand Wash, 225ml",Rs. 230.00
https://www.naheed.pk/astonish-window-glass-cleaner-trigger-750ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/0/1040779-1.jpg,Astonish Window & Glass Cleaner Trigger 750ml,Rs. 695.00
https://www.naheed.pk/palmolive-antibacterial-white-tea-hand-wash-refill-450ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/7/1781011jpg01.jpg,"Palmolive Antibacterial White Tea Hand Wash, Refill, 450ml",Rs. 330.00
https://www.naheed.pk/puffin-adult-pull-up-small-60-83cm-23-32-inches-10-pack,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1133636-1.jpg,"Puffin Adult Pull-Up, Small, 60-83cm/23-32 Inches, 10-Pack","Rs. 2,650.00"
https://www.naheed.pk/palmolive-antibacterial-white-tea-hand-wash-225ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/p/a/palmolive_naturals_liquid_handwash_anti-bacterial_225mljpg36.jpg,"Palmolive Antibacterial White Tea Hand Wash, 225ml",Rs. 230.00
https://www.naheed.pk/astonish-multi-purpose-with-bleach-trigger-750ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/1/1/1167058-1.jpg,Astonish Multi-Purpose With Bleach Trigger 750ml,Rs. 695.00
https://www.naheed.pk/palmolive-naturals-aloe-vera-chamomile-hand-wash-450ml,https://media.naheed.pk/catalog/product/cache/fd6f1e57839b9b324771e8de21428b3f/m/-/m-tech-1055jpg22.jpg,"Palmolive Naturals Aloe Vera & Chamomile Hand Wash, 450ml",Rs. 391.00
